Hugo_Symbol,T_Paired,P_Paired
MRPS31,4.1327901608339666,0.00013955215428706187
NLGN3,3.2014751710057356,0.0024018557814332467
TNFSF13,20.29695073318471,1.6901844138648345e-25
RPS17,-3.491641175678302,0.0010266969544053162
HSDL2,13.724057940827219,2.067413762263827e-18
PSPN,3.13825401493428,0.002875914271704944
NKX6-1,-3.288314145612015,0.001869743711738918
ST3GAL2,7.339635700643477,1.978611466230609e-09
TBC1D4,3.577883857972776,0.0007920149773667878
ADAR,-2.7228359831458886,0.008941092472362955
MTPN,-2.2503915716987537,0.02894669457150761
RHBDD3,-9.758167345763008,4.5085513062742206e-13
MTR,3.1744809960974667,0.002594471931920771
CHRM2,5.160032028192662,4.458384783914868e-06
LAMTOR3,2.366528794162057,0.02195266430243018
RPS10-NUDT3,-7.099784061773746,4.647875669005295e-09
LSMEM1,4.101538962204873,0.00015431319208971653
TULP4,-4.585912935490978,3.148237956878255e-05
LENG8,3.7056958373725424,0.0005362157442643854
PFDN4,-9.835237800808398,3.4843242421935445e-13
LPAR2,-9.478725937023032,1.1543299574264764e-12
MRPS16,-7.492116268022981,1.1509476173192706e-09
CASP3,-6.888311147174034,9.88067820144243e-09
ARSA,3.1759231129979475,0.002583824022990886
RP11-998D10.1,2.085156837196634,0.04228661411330228
FAM102B,3.399393583409449,0.0013505669063895377
ENPP2,3.4810325676872838,0.0010597782057428114
RHBDF2,-5.685003284165654,7.127843265476318e-07
VTN,3.46417275068208,0.0011144523025710083
NPIPA8,2.087026752795274,0.04210971486259547
