Hugo_Symbol,Log2FC,T_Paired,P_Paired,T_Independent,P_Independent,Is_DEG_Paired,Is_DEG_Indep,Alignment_Category
REV1,-0.06578011644312708,1.0007586661282788,0.3218601085903559,0.8758982063896128,0.3832272322940969,False,False,Neither
ECH1,-0.001141703414999202,0.008038876824878948,0.9936186138081177,0.007953056509014475,0.9936706133029617,False,False,Neither
ZNF491,-1.4210851633442265,9.207643753431041,2.897633702640777e-12,9.295927369673583,4.084835508144575e-15,True,True,Both (Concordant)
SEP15,-0.3632377863786938,4.3459273391495765,6.975438181822338e-05,4.605084330840667,1.2395704618099537e-05,False,False,Neither
LRRC24,0.0834828192088121,-0.5179020717171126,0.6068571804612394,-0.5062229908524648,0.6138370471613841,False,False,Neither
C1orf109,1.3388395796400974,-1.8365132677932714,0.07235185062369262,-1.8326071296097652,0.06989746420841035,False,False,Neither
GMFG,-2.294204043964416,18.928852898797558,3.5331765824257935e-24,17.486623772956115,6.808977014440636e-32,True,True,Both (Concordant)
MAGEH1,-0.7965210048340022,6.85762174306337,1.102409553587768e-08,7.254728583721014,9.507563561226772e-11,True,True,Both (Concordant)
GMFB,-0.3782989013269068,6.107279022800076,1.599163589434912e-07,5.61751055381666,1.8151139111492803e-07,False,False,Neither
AC068987.1,2.0267277785516007,-5.834738509382448,4.2021144061342037e-07,-5.722040174581709,1.1468112956334369e-07,True,True,Both (Concordant)
APOBEC3G,0.06658875189061324,-0.3870993897249119,0.700358843038363,-0.4144070535741162,0.6794817017576774,False,False,Neither
SLC7A2,-1.2221154156268845,4.480755291131075,4.4693159677233615e-05,4.4995142017906185,1.875344579665385e-05,True,True,Both (Concordant)
IQCH,-0.24272744057143197,1.3520242647308056,0.18257539458299027,1.273176828237079,0.20596715531544138,False,False,Neither
FAM83G,1.4019122371795654,-5.860255905493049,3.839530751326034e-07,-5.5603660668841774,2.329198165836868e-07,True,True,Both (Concordant)
CCNA2,3.668429503773172,-12.160741019894544,2.068526459585337e-16,-12.112050851407192,3.46995225451957e-21,True,True,Both (Concordant)
PSMC1,0.5065318612880959,-7.060861682732886,5.339613324865667e-09,-7.49985301808857,2.913101859335027e-11,False,False,Neither
TGIF1,0.4278552160573566,-3.8633542790902515,0.00032863695181498527,-3.4837265966933817,0.0007407919429884103,False,False,Neither
C18orf21,0.504316566049598,-3.6719075297202335,0.0005948222399626388,-3.706540112989849,0.0003480616015259351,False,False,Neither
CD180,-0.47226459566507856,1.361225190367568,0.17966984185228768,1.3898777627751273,0.1677151764516862,False,False,Neither
TDRKH,0.5000717008089398,-2.135043385790863,0.037783166866434834,-2.148582478840852,0.03413146320944498,False,False,Neither
TXNDC15,-0.7479988346021869,10.163458470255256,1.171977221255638e-13,11.029515872050565,7.166768871098185e-19,True,True,Both (Concordant)
RP11-849F2.7,-0.12957706966202961,0.7804504752834578,0.43887982870876613,0.8148854795318837,0.4171137837414759,False,False,Neither
CTNNA3,0.14963116319355613,-0.37092178320346525,0.7122946446919206,-0.3751424642080352,0.7083651926737512,False,False,Neither
IPO5,0.45313445910467925,-4.022804231617642,0.0001985303202500161,-4.076666849354864,9.296801397873094e-05,False,False,Neither
DYTN,-0.5246403762349683,0.7656796230407743,0.4475396210670635,0.6657047636933392,0.5071637106384392,False,False,Neither
C8B,-4.0066978754217875,6.294920564946146,8.203338089951024e-08,6.448224338932886,4.288334790316497e-09,True,True,Both (Concordant)
CCL3L1,-0.5640085372156457,1.5917518594540256,0.11787201195750122,1.4010691369987829,0.16435214594106737,False,False,Neither
ANKRD33B,0.645616608846152,-1.1110396849492874,0.2719734007950512,-1.1119619876008018,0.26887490783697493,False,False,Neither
DGKD,-0.9534102953654577,6.690553548869444,2.0011104268800483e-08,7.060872424428501,2.4049160136863987e-10,True,True,Both (Concordant)
TMPO,1.1186955296864871,-8.342097962617931,5.7562417107351124e-11,-8.256595650627213,7.169389654366769e-13,True,True,Both (Concordant)
LY86,-2.297333276882158,12.644252717486218,4.8148470308714843e-17,12.797019772340375,1.2503106059906408e-22,True,True,Both (Concordant)
LDOC1,0.37249068016186276,-2.196699785885087,0.03280242255300843,-2.1807480784255637,0.031595047461046494,False,False,Neither
MAD2L1,3.3400534397556116,-11.814482229173603,5.985063418320524e-16,-11.739948039090597,2.147157558684308e-20,True,True,Both (Concordant)
BHMT2,-0.23787790993620092,0.29169084402059936,0.7717543672948314,0.28790815283661103,0.7740250354263032,False,False,Neither
BAI1,1.2069295576722783,-2.0293396384341786,0.04787370427648216,-2.0330226287479856,0.04475450383863399,True,True,Both (Concordant)
TOMM70A,0.9239539718558992,-9.711297416422326,5.27529530151086e-13,-9.656094232945067,6.752375462279542e-16,True,True,Both (Concordant)
MRI1,0.40367943849709087,-4.38121386498561,6.211193127856649e-05,-3.812077687211441,0.00024082984322248817,False,False,Neither
ARAP1,-0.8736688434351456,10.963554026793924,8.699467229663251e-15,9.949422866213212,1.55828732815928e-16,True,True,Both (Concordant)
DZIP1,0.3683289800552344,-2.062196583485796,0.04451209545457711,-2.104256027954314,0.03791528838206264,False,False,Neither
VDAC3,0.6738941422635074,-5.784836785825924,5.0123576158189e-07,-5.689828252876294,1.3216602389349175e-07,True,True,Both (Concordant)
RBM42,0.41244828678428613,-4.090428286423254,0.0001599175087298175,-3.825016292412733,0.00023009334807207434,False,False,Neither
MROH7-TTC4,-0.5781668029995404,2.7062417595539574,0.009337968086166224,2.6848029425367406,0.008522686045828846,False,False,Neither
ZNF2,0.4127103024471963,-1.688554929033574,0.09765996716775555,-1.6991994027803847,0.09245399987373908,False,False,Neither
ATP8B2,-0.5221420074899795,4.068125181976565,0.00017176914944426648,4.05952839672691,9.899928743400881e-05,False,False,Neither
MMADHC,0.41410335311233426,-5.563841976275583,1.091408534344491e-06,-5.324079983321528,6.448093782850549e-07,False,False,Neither
SIK3,-0.40514954937286773,4.323364751924275,7.511359127000687e-05,4.645466641488813,1.0564877526698675e-05,False,False,Neither
GOLIM4,0.4405413297647638,-3.872427467691745,0.0003194199522817927,-3.7397474749050246,0.0003101989137568795,False,False,Neither
GPR149,5.903287403966825,-2.4645162154237505,0.017274043072858413,-2.454226104994335,0.01588300854244244,True,True,Both (Concordant)
FLJ20306,0.6461481929138423,-3.961631439272605,0.00024112525564400438,-3.490854815415073,0.0007234501319163757,True,True,Both (Concordant)
ZAR1L,1.7323374471324238,-3.738126295193773,0.0004852060316592732,-3.4214197557442736,0.0009099681712262806,True,True,Both (Concordant)
TSHZ2,1.0359256847920248,-4.977266745952461,8.363120897994943e-06,-4.970401827885885,2.8398468725074148e-06,True,True,Both (Concordant)
ADAM11,1.7824788353656644,-4.115448703415978,0.00014756504800253757,-4.132380010812577,7.570147126044008e-05,True,True,Both (Concordant)
SPCS2,0.08202560914609446,-1.4737950549726335,0.14693257410018493,-1.1097987393088522,0.2698015727937401,False,False,Neither
SNX18,-0.6202659714756023,9.147717043068228,3.555273608992354e-12,9.46682756773012,1.7391364162809582e-15,True,True,Both (Concordant)
KIF17,-2.716467271377568,16.034184733429214,3.95569073250965e-21,15.30051373917563,1.0159860664611184e-27,True,True,Both (Concordant)
PARP11,0.2746589781635652,-1.975442841080364,0.05386440486004947,-2.092321254083518,0.038994003069034805,False,False,Neither
RAB42,-0.06776744407663159,0.2375675288602702,0.8132070876813599,0.23057563731462727,0.818125154161952,False,False,Neither
ACP6,0.1599795522261803,-1.5438495817530797,0.12905917776016407,-1.3161867742331759,0.19118162401303196,False,False,Neither
IL7,-1.0223518270197056,6.597638241136713,2.787832620570607e-08,6.154895628386755,1.6481932633959036e-08,True,True,Both (Concordant)
RBPMS2,-1.028003537101651,5.171190576142484,4.289642485984772e-06,5.315536061696539,6.687246820490822e-07,True,True,Both (Concordant)
AGTR2,-3.560370599998329,6.645897686563803,2.346819477011472e-08,6.546231219840278,2.7208130603585967e-09,True,True,Both (Concordant)
PLA2G4D,2.0558688253970363,-3.1726199136481728,0.0026082743993067112,-3.189402127876692,0.0019148607275143502,True,True,Both (Concordant)
ANKRD20A4,0.2028063171834343,-0.45422181065294315,0.6516749011969639,-0.4239892311628998,0.6725028893580783,False,False,Neither
MTDH,0.41211006456097704,-4.573662135029796,3.2798607977982405e-05,-4.263722746287492,4.632769272555261e-05,False,False,Neither
MT-CYB,-0.9381205345207162,7.130596586123374,4.164524442709295e-09,7.528453976631301,2.5359620229723124e-11,True,True,Both (Concordant)
TRIP6,0.5154484009684731,-4.770523260752361,1.6913083941205077e-05,-4.546083706560503,1.5633539425296024e-05,False,False,Neither
NOTO,0.6937604407605873,-0.7982122504476775,0.428599055873196,-0.820354737974454,0.4140048347342867,False,False,Neither
CES1,-0.15079888601984556,0.4486785450052439,0.6556415519086037,0.4372798799348902,0.6628704966993783,False,False,Neither
