Hugo_Symbol,T_Independent,P_Independent
OR51I1,2.399133487674754,0.01832484547212664
ALMS1,-3.8678431775431235,0.00019771576035218253
TRIQK,5.129690110031751,1.4659468074121286e-06
SLC25A3,-2.3343964131688555,0.021616120497354986
P2RX4,5.1019608130849985,1.646070962464877e-06
NKX3-2,-2.8708324171705093,0.005016714201510057
ACTN1,-3.769939779598205,0.00027920101500301876
C15orf61,-3.5303120712375313,0.0006341799288887873
CD80,7.637587701576418,1.4924486437517733e-11
OFCC1,-5.725442629645101,1.1297264448134787e-07
AL078585.1,6.319444033977072,7.767226226055807e-09
ACTR1A,10.871185918141547,1.5728056275682453e-18
TRNP1,7.212358875530095,1.1652353218512648e-10
C9orf66,4.23911144499452,5.082874175234468e-05
